ell,Cl,sigma
2.000000,1022.439610,51.121980
3.000000,968.268990,48.413449
4.000000,916.303103,45.815155
5.000000,877.598762,43.879938
6.000000,851.243171,42.562159
7.000000,834.547090,41.727354
8.000000,824.568978,41.228449
9.000000,819.941833,40.997092
10.000000,819.214140,40.960707
11.000000,820.995479,41.049774
12.000000,826.024980,41.301249
13.000000,832.396194,41.619810
14.000000,839.938721,41.996936
15.000000,847.595062,42.379753
16.000000,857.145454,42.857273
17.000000,868.446147,43.422307
18.000000,880.359065,44.017953
19.000000,893.639868,44.681993
20.000000,906.673205,45.333660
21.000000,920.156406,46.007820
22.000000,934.118945,46.705947
23.000000,948.174655,47.408733
24.000000,962.642998,48.132150
25.000000,977.657166,48.882858
26.000000,992.726365,49.636318
27.000000,1008.259236,50.412962
28.000000,1024.085287,51.204264
29.000000,1040.123720,52.006186
30.000000,1056.567722,52.828386
